period,periodTime,periodTimeRemaining,awayPlayer0Id,awayPlayer1Id,awayPlayer2Id,awayPlayer3Id,awayPlayer4Id,awayPlayer5Id,homePlayer0Id,homePlayer1Id,homePlayer2Id,homePlayer3Id,homePlayer4Id,homePlayer5Id,event,eventType,eventResult,eventTeam,eventId,x0,y0,x1,y1,player0Id,player1Id,pass0x0,pass0y0,pass0x1,pass0y1,pass0result,pass0team,pass0player0Id,pass0player1Id,pass1x0,pass1y0,pass1x1,pass1y1,pass1result,pass1team,pass1player0Id,pass1player1Id,pass2x0,pass2y0,pass2x1,pass2y1,pass2result,pass2team,pass2player0Id,pass2player1Id,pass3x0,pass3y0,pass3x1,pass3y1,pass3result,pass3team,pass3player0Id,pass3player1Id,pass4x0,pass4y0,pass4x1,pass4y1,pass4result,pass4team,pass4player0Id,pass4player1Id,tags,linkedEvents
1,0:29,19:31,8468493,8475786,8477939,8475883,8479318,8476853,8465009,8470638,8471695,8478046,8479325,8477956,Missed Shot,,,TOR,2017020794_4_shawn.ferris@wne.edu,-34,-30,,,8476853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:38,19:22,8468493,8475786,8477939,8475883,8479318,8476853,8465009,8470638,8471695,8478046,8479325,8477956,Zone Exit,Uncontrolled,Lost,BOS,2017020794_605727149_shawn.ferris@wne.edu,-72,-39,,,8477956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:01,18:59,8468493,8466139,8478483,8475883,8475172,8476853,8474062,8471695,8470655,8476891,8471717,8477213,Zone Exit,Uncontrolled,Lost,TOR,2017020794_786501363_shawn.ferris@wne.edu,76,0,,,8468493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:18,18:42,8466139,8478483,8479458,8475883,8475172,8474581,8474062,8471695,8470655,8476891,8471717,8477213,Shot,Wrist Shot,,TOR,2017020794_8_shawn.ferris@wne.edu,-35,25,,,8479458,8471695,-68,40,-29,38,Completed,TOR,8475172,8479458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:23,18:37,8479458,8474037,8477015,8475883,8475098,8474581,8478443,8471695,8471276,8476792,8475727,8478498,Zone Exit,Uncontrolled,Lost,BOS,2017020794_660070235_shawn.ferris@wne.edu,-84,32,,,8476792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:31,18:29,8479458,8474037,8477015,8475883,8475098,8474581,8478443,8471695,8471276,8476792,8475727,8478498,Zone Exit,Uncontrolled,Lost,TOR,2017020794_145061347_shawn.ferris@wne.edu,97,-4,,,8474581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:50,18:10,8468575,8479458,8477953,8475883,8473463,8474581,8478443,8471695,8471276,8476792,8475727,8478498,Zone Entry,Failed,,TOR,2017020794_609267131_shawn.ferris@wne.edu,-10,39,,,8477953,,21,2,-2,38,,TOR,8479458,8477953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:52,18:08,8468575,8479458,8477953,8475883,8473463,8474581,8478443,8471695,8471276,8476792,8475727,8478498,Zone Entry,Uncontrolled,Lost,TOR,2017020794_262289068_shawn.ferris@wne.edu,-13,38,,,8477953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:04,17:56,8476941,8478408,8477953,8475883,8479318,8473463,8478443,8471695,8471276,8476792,8475727,8478498,Zone Exit,Failed,,BOS,2017020794_225157538_shawn.ferris@wne.edu,-96,19,,,8476792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:08,17:52,8476941,8478408,8477953,8475883,8479318,8473463,8478443,8471695,8471276,8476792,8475727,8478498,Zone Exit,Controlled,,BOS,2017020794_754420523_shawn.ferris@wne.edu,-25,37,,,8471276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:10,17:50,8476941,8478408,8477939,8475883,8479318,8473463,8478443,8471695,8471276,8476792,8475727,8478498,Zone Entry,Failed,,BOS,2017020794_430595919_shawn.ferris@wne.edu,0,37,,,8471276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017020794_754420523_shawn.ferris@wne.edu
1,2:22,17:38,8476941,8475786,8478408,8477939,8475883,8479318,8465009,8471695,8478046,8471276,8479325,8477956,Zone Entry,Uncontrolled,Lost,TOR,2017020794_138709000_shawn.ferris@wne.edu,-24,39,,,8477939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:32,17:28,8468493,8475786,8477939,8475883,8479318,8476853,8478443,8465009,8470638,8471695,8478046,8477956,Zone Exit,Pass,,BOS,2017020794_169417439_shawn.ferris@wne.edu,-35,39,-17,22,8470638,8477956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:35,17:25,8468493,8475786,8477939,8475883,8479318,8476853,8478443,8465009,8470638,8471695,8478046,8477956,Zone Entry,Controlled,,BOS,2017020794_90281733_shawn.ferris@wne.edu,25,-1,,,8477956,,-36,40,-18,22,Completed,BOS,8470638,8477956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017020794_169417439_shawn.ferris@wne.edu
1,2:37,17:23,8468493,8475786,8477939,8475883,8479318,8476853,8478443,8465009,8470638,8471695,8478046,8477956,Shot,Wrist Shot,,BOS,2017020794_14_shawn.ferris@wne.edu,60,11,,,8470638,8475883,30,-7,32,19,Completed,BOS,8477956,8470638,-36,40,-18,22,Completed,BOS,8470638,8477956,,,,,,,,,,,,,,,,,,,,,,,,,,2017020794_90281733_shawn.ferris@wne.edu:2017020794_169417439_shawn.ferris@wne.edu
1,2:45,17:15,8468493,8466139,8475883,8475098,8475172,8476853,8465009,8470638,8471695,8478046,8479325,8477956,Zone Entry,Controlled,,BOS,2017020794_522408212_shawn.ferris@wne.edu,24,38,,,8477956,,5,-38,18,33,Completed,BOS,8479325,8477956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2:58,17:02,8468493,8466139,8478483,8475883,8475172,8476853,8465009,8470638,8471695,8478046,8479325,8477956,Zone Entry,Controlled,,BOS,2017020794_407760143_shawn.ferris@wne.edu,24,-33,,,8465009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
