playerId,team,teamName,fullName,primaryNumber,positionCode
8474709,TOR,Toronto Maple Leafs,Matt Martin,15,L
8473419,BOS,Boston Bruins,Brad Marchand,63,L
8477939,TOR,Toronto Maple Leafs,William Nylander,29,C
8471717,BOS,Boston Bruins,Adam McQuaid,54,D
8478408,TOR,Toronto Maple Leafs,Travis Dermott,23,D
8471276,BOS,Boston Bruins,David Krejci,46,C
8471695,BOS,Boston Bruins,Tuukka Rask,40,G
8476941,TOR,Toronto Maple Leafs,Connor Carrick,8,D
8477953,TOR,Toronto Maple Leafs,Kasperi Kapanen,24,R
8477956,BOS,Boston Bruins,David Pastrnak,88,R
8479318,TOR,Toronto Maple Leafs,Auston Matthews,34,C
8476410,TOR,Toronto Maple Leafs,Josh Leivo,32,L
8475883,TOR,Toronto Maple Leafs,Frederik Andersen,31,G
8474074,BOS,Boston Bruins,Paul Postma,14,D
8478512,BOS,Boston Bruins,Austin Czarnik,27,C
8479325,BOS,Boston Bruins,Charlie McAvoy,73,D
8473463,TOR,Toronto Maple Leafs,Leo Komarov,47,C
8476792,BOS,Boston Bruins,Torey Krug,47,D
8476891,BOS,Boston Bruins,Matt Grzelcyk,48,D
8476374,BOS,Boston Bruins,Sean Kuraly,52,C
8478498,BOS,Boston Bruins,Jake DeBrusk,74,L
8465009,BOS,Boston Bruins,Zdeno Chara,33,D
8466139,TOR,Toronto Maple Leafs,Patrick Marleau,12,C
8476191,BOS,Boston Bruins,Kevan Miller,86,D
8470638,BOS,Boston Bruins,Patrice Bergeron,37,C
8468575,TOR,Toronto Maple Leafs,Dominic Moore,20,C
8468493,TOR,Toronto Maple Leafs,Ron Hainsey,2,D
8474037,TOR,Toronto Maple Leafs,James van Riemsdyk,25,L
8475727,BOS,Boston Bruins,Ryan Spooner,51,C
8475786,TOR,Toronto Maple Leafs,Zach Hyman,11,C
8476853,TOR,Toronto Maple Leafs,Morgan Rielly,44,D
8470655,BOS,Boston Bruins,David Backes,42,R
8479458,TOR,Toronto Maple Leafs,Nikita Zaitsev,22,D
8477015,TOR,Toronto Maple Leafs,Connor Brown,28,R
8477213,BOS,Boston Bruins,Tim Schaller,59,C
8474062,BOS,Boston Bruins,Riley Nash,20,C
8475098,TOR,Toronto Maple Leafs,Tyler Bozak,42,C
8474581,TOR,Toronto Maple Leafs,Jake Gardiner,51,D
8478443,BOS,Boston Bruins,Brandon Carlo,25,D
8478366,BOS,Boston Bruins,Frank Vatrano,72,C
8478046,BOS,Boston Bruins,Danton Heinen,43,C
8478483,TOR,Toronto Maple Leafs,Mitchell Marner,16,C
8475172,TOR,Toronto Maple Leafs,Nazem Kadri,43,C
8480158,TOR,Toronto Maple Leafs,Andreas Borgman,55,D
