,period,periodTime,periodTimeRemaining,event,eventType,eventResult,eventTeam,eventId,x0,y0,x1,y1,pass0x0,pass0y0,pass0x1,pass0y1,pass0result,pass0team,pass1x0,pass1y0,pass1x1,pass1y1,pass1result,pass1team,pass2x0,pass2y0,pass2x1,pass2y1,pass2result,pass2team,pass3x0,pass3y0,pass3x1,pass3y1,pass3result,pass3team,pass4x0,pass4y0,pass4x1,pass4y1,pass4result,pass4team,tags,linkedEvents,awayPlayer0Id,awayPlayer1Id,awayPlayer2Id,awayPlayer3Id,awayPlayer4Id,awayPlayer5Id,homePlayer0Id,homePlayer1Id,homePlayer2Id,homePlayer3Id,homePlayer4Id,homePlayer5Id,pass0player0Id,pass0player1Id,pass1player0Id,pass1player1Id,pass2player0Id,pass2player1Id,pass3player0Id,pass3player1Id,pass4player0Id,pass4player1Id,player0Id,player1Id
1,2,0:20:00,19:40:00,Missed Shot,NA,NA,TOR,2017020794_112_shawn.ferris@wne.edu,-46,14,NA,NA,-27,32,-27,39,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_378836391_shawn.ferris@wne.edu:2017020794_290866883_shawn.ferris@wne.edu,Patrick Marleau,Mitchell Marner,Nikita Zaitsev,Frederik Andersen,Nazem Kadri,Jake Gardiner,Riley Nash,Tuukka Rask,David Backes,Matt Grzelcyk,Adam McQuaid,Tim Schaller,Patrick Marleau,Mitchell Marner,NA,NA,NA,NA,NA,NA,NA,NA,Mitchell Marner,NA
2,2,2:08:00,17:52:00,Missed Shot,NA,NA,TOR,2017020794_120_shawn.ferris@wne.edu,-36,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connor Carrick,Patrick Marleau,Mitchell Marner,Travis Dermott,Frederik Andersen,Nazem Kadri,Brandon Carlo,Tuukka Rask,David Krejci,Torey Krug,Ryan Spooner,Jake DeBrusk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connor Carrick,NA
3,2,2:26:00,17:34:00,Shot,Tip-In,NA,BOS,2017020794_125_shawn.ferris@wne.edu,67,-1,NA,NA,28,-7,67,-1,Completed,BOS,68,-22,31,-37,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tip:faceoff,NA,Ron Hainsey,Dominic Moore,Kasperi Kapanen,Frederik Andersen,Morgan Rielly,Leo Komarov,Brandon Carlo,Tuukka Rask,David Krejci,Torey Krug,Ryan Spooner,Jake DeBrusk,Torey Krug,David Krejci,Patrice Bergeron,Torey Krug,NA,NA,NA,NA,NA,NA,David Krejci,Frederik Andersen
4,2,2:48:00,17:12:00,Shot,Wrist Shot,NA,BOS,2017020794_127_shawn.ferris@wne.edu,77,-10,NA,NA,96,5,96,-16,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ron Hainsey,Dominic Moore,Kasperi Kapanen,Frederik Andersen,Morgan Rielly,Leo Komarov,Brandon Carlo,Tuukka Rask,David Krejci,Torey Krug,Ryan Spooner,Jake DeBrusk,Jake DeBrusk,Torey Krug,NA,NA,NA,NA,NA,NA,NA,NA,Torey Krug,Frederik Andersen
5,2,6:37:00,13:23:00,Shot,Snap Shot,NA,BOS,2017020794_146_shawn.ferris@wne.edu,42,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_517950775_shawn.ferris@wne.edu,Zach Hyman,Travis Dermott,Connor Brown,Frederik Andersen,Morgan Rielly,Jake Gardiner,Tuukka Rask,David Backes,Torey Krug,Ryan Spooner,Tim Schaller,Charlie McAvoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Backes,Frederik Andersen
6,2,7:53:00,12:07:00,Missed Shot,NA,NA,BOS,2017020794_150_shawn.ferris@wne.edu,40,4,NA,NA,60,39,28,8,Completed,BOS,76,24,77,38,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_952092498_shawn.ferris@wne.edu:2017020794_8389309_shawn.ferris@wne.edu,Ron Hainsey,Connor Carrick,Kasperi Kapanen,Connor Brown,Frederik Andersen,Nazem Kadri,Zdeno Chara,Tuukka Rask,David Backes,David Krejci,Tim Schaller,Charlie McAvoy,David Krejci,Zdeno Chara,David Backes,David Krejci,NA,NA,NA,NA,NA,NA,Zdeno Chara,NA
7,2,8:49:00,11:11:00,Shot,Wrist Shot,NA,TOR,2017020794_157_shawn.ferris@wne.edu,-67,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrick Marleau,Mitchell Marner,Nikita Zaitsev,Frederik Andersen,Nazem Kadri,Jake Gardiner,Brandon Carlo,Tuukka Rask,David Krejci,Torey Krug,Ryan Spooner,Jake DeBrusk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nazem Kadri,Tuukka Rask
8,2,9:39:00,10:21:00,Shot,Backhand,NA,TOR,2017020794_163_shawn.ferris@wne.edu,-73,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_665883229_shawn.ferris@wne.edu,Ron Hainsey,Zach Hyman,William Nylander,Frederik Andersen,Auston Matthews,Morgan Rielly,Riley Nash,Zdeno Chara,Tuukka Rask,David Backes,Tim Schaller,Charlie McAvoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auston Matthews,Tuukka Rask
9,2,10:20:00,9:40:00,Missed Shot,NA,NA,TOR,2017020794_165_shawn.ferris@wne.edu,-58,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_577697963_shawn.ferris@wne.edu,Connor Carrick,Travis Dermott,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Riley Nash,Zdeno Chara,Tuukka Rask,Danton Heinen,Adam McQuaid,David Pastrnak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connor Brown,NA
10,2,10:44:00,9:16:00,Missed Shot,NA,NA,BOS,2017020794_166_shawn.ferris@wne.edu,62,1,NA,NA,27,24,72,6,Completed,BOS,79,39,28,35,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tip,2017020794_267886989_shawn.ferris@wne.edu,Connor Carrick,Travis Dermott,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Patrice Bergeron,Tuukka Rask,Danton Heinen,Matt Grzelcyk,Adam McQuaid,David Pastrnak,Matt Grzelcyk,Patrice Bergeron,Danton Heinen,Matt Grzelcyk,NA,NA,NA,NA,NA,NA,Patrice Bergeron,NA
